datetime,funding_rate
2024-03-01 00:00:00,0.00075827
2024-03-01 08:00:00,0.00184942
2024-03-01 16:00:00,0.00251568
2024-03-02 00:00:00,0.00321464
2024-03-02 08:00:00,0.00261001
2024-03-02 16:00:00,0.00237193
2024-03-03 00:00:00,0.00197774
2024-03-03 08:00:00,0.00199489
2024-03-03 16:00:00,0.00208239
2024-03-04 00:00:00,0.00229766
2024-03-04 08:00:00,0.00301067
2024-03-04 16:00:00,0.00233043
2024-03-05 00:00:00,0.00321794
2024-03-05 08:00:00,0.00259049
2024-03-05 16:00:00,0.00193531
2024-03-06 00:00:00,0.00074324
2024-03-06 08:00:00,0.00167393
2024-03-06 16:00:00,0.00065522
2024-03-07 00:00:00,0.00042529
2024-03-07 08:00:00,0.00076505
2024-03-07 16:00:00,0.00150723
2024-03-08 00:00:00,0.00207559
2024-03-08 08:00:00,0.00225397
2024-03-08 16:00:00,0.00213789
2024-03-09 00:00:00,0.00159389
2024-03-09 08:00:00,0.00157541
2024-03-09 16:00:00,0.00129252
2024-03-10 00:00:00,0.00151074
2024-03-10 08:00:00,0.00273553
2024-03-10 16:00:00,0.00146105
2024-03-11 00:00:00,0.00094702
2024-03-11 08:00:00,0.00126253
2024-03-11 16:00:00,0.00159637
2024-03-12 00:00:00,0.00161169
2024-03-12 08:00:00,0.00113888
2024-03-12 16:00:00,0.00116361
2024-03-13 00:00:00,0.00200727
2024-03-13 08:00:00,0.00191133
2024-03-13 16:00:00,0.0016681
2024-03-14 00:00:00,0.00161523
2024-03-14 08:00:00,0.00196751
2024-03-14 16:00:00,0.00229322
2024-03-15 00:00:00,0.00207014
2024-03-15 08:00:00,0.00128287
2024-03-15 16:00:00,0.0009011
2024-03-16 00:00:00,0.00106594
2024-03-16 08:00:00,0.00085912
2024-03-16 16:00:00,0.00119686
2024-03-17 00:00:00,0.0008063
2024-03-17 08:00:00,0.00065496
2024-03-17 16:00:00,0.00113503
2024-03-18 00:00:00,0.00083451
2024-03-18 08:00:00,0.00133705
2024-03-18 16:00:00,0.00116184
2024-03-19 00:00:00,0.00044128
2024-03-19 08:00:00,0.00020724
2024-03-19 16:00:00,0.00019886
2024-03-20 00:00:00,0.0001
2024-03-20 08:00:00,0.0001
2024-03-20 16:00:00,0.00011882
2024-03-21 00:00:00,0.00051283
2024-03-21 08:00:00,0.00043377
2024-03-21 16:00:00,0.00014047
2024-03-22 00:00:00,0.00029512
2024-03-22 08:00:00,0.0005139
2024-03-22 16:00:00,0.00023425
2024-03-23 00:00:00,0.00021778
2024-03-23 08:00:00,0.00017147
2024-03-23 16:00:00,0.00022164
2024-03-24 00:00:00,0.0001
2024-03-24 08:00:00,0.0001
2024-03-24 16:00:00,0.00021873
2024-03-25 00:00:00,0.00074739
2024-03-25 08:00:00,0.00081315
2024-03-25 16:00:00,0.00084574
2024-03-26 00:00:00,0.00086291
2024-03-26 08:00:00,0.00074903
2024-03-26 16:00:00,0.00126108
2024-03-27 00:00:00,0.00102051
2024-03-27 08:00:00,0.00119426
2024-03-27 16:00:00,0.00091171
2024-03-28 00:00:00,0.00071456
2024-03-28 08:00:00,0.00090713
2024-03-28 16:00:00,0.00105537
2024-03-29 00:00:00,0.00106835
2024-03-29 08:00:00,0.00114315
2024-03-29 16:00:00,0.00092942
2024-03-30 00:00:00,0.00082328
2024-03-30 08:00:00,0.00110223
2024-03-30 16:00:00,0.001597
2024-03-31 00:00:00,0.00105295
2024-03-31 08:00:00,0.00105919
