datetime,funding_rate,funding_ma,funding_sd,funding_z,perp_pos,spot_pos,trade_perp,trade_spot,trade,transaction_cost,pnl,cumu,dd,,
2020/3/25 16:00,0.00010,,,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/26 00:00,0.00010,,,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/26 08:00,0.00010,,,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/26 16:00,0.00010,,,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/27 00:00,0.00010,,,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/27 08:00,0.00010,,,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/27 16:00,0.00010,,,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/28 00:00,0.00010,,,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/28 08:00,0.00010,,,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/28 16:00,0.00010,0.0001,0,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/29 00:00,0.00010,0.0001,0,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/29 08:00,0.00010,0.0001,0,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/29 16:00,0.00010,0.0001,0,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/30 00:00,0.00010,0.0001,0,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/30 08:00,0.00010,0.0001,0,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/30 16:00,0.00010,0.0001,0,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/31 00:00,0.00010,0.0001,0,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/31 08:00,0.00010,0.0001,0,,0,0,0,0,0,0,0.00000,0,0,,
2020/3/31 16:00,0.00010,0.0001,0,,0,0,0,0,0,0,0.00000,0,0,,
2020/4/1 00:00,0.00010,0.0001,0,,0,0,0,0,0,0,0.00000,0,0,,
2020/4/1 08:00,0.00010,0.0001,0,,0,0,0,0,0,0,0.00000,0,0,,
2020/4/1 16:00,-0.00025,6.55E-05,0.000109209,-2.846049894,0,0,0,0,0,0,0.00000,0,0,,
2020/4/2 00:00,-0.00065,-9.64E-06,0.000250135,-2.564183093,0,0,0,0,0,0,0.00000,0,0,,
2020/4/2 08:00,-0.00076,-9.61E-05,0.000340861,-1.959977322,0,0,0,0,0,0,0.00000,0,0,,
2020/4/2 16:00,-0.00063,-0.000169186,0.000371228,-1.244958422,0,0,0,0,0,0,0.00000,0,0,,
2020/4/3 00:00,-0.00196,-0.000375651,0.000663764,-2.393920663,0,0,0,0,0,0,0.00000,0,0,,
2020/4/3 08:00,-0.00375,-0.000760651,0.001231214,-2.427969267,0,0,0,0,0,0,0.00000,0,0,,
2020/4/3 16:00,-0.00198,-0.00096866,0.001245285,-0.812207483,0,0,0,0,0,0,0.00000,0,0,,
2020/4/4 00:00,-0.00075,-0.00105334,0.001192201,0.257120974,0,0,0,0,0,0,0.00000,0,0,,
2020/4/4 08:00,-0.00021,-0.001084494,0.001162413,0.75098464,0,0,0,0,0,0,0.00000,0,0,,
2020/4/4 16:00,0.00010,-0.001084572,0.001162324,1.018469631,-1,1,1,1,2,0.00155,-0.00155,-0.00155,0.00155,,
2020/4/5 00:00,0.00010,-0.001050037,0.001194709,0.96260831,-1,1,0,0,0,0,0.00010,-0.00145,0.00145,,
2020/4/5 08:00,0.00010,-0.000974934,0.001245121,0.863316659,-1,1,0,0,0,0,0.00010,-0.00135,0.00135,,
2020/4/5 16:00,0.00010,-0.000888521,0.001290535,0.765977882,-1,1,0,0,0,0,0.00010,-0.00125,0.00125,,
2020/4/6 00:00,0.00010,-0.000815386,0.001326937,0.689848648,-1,1,0,0,0,0,0.00010,-0.00115,0.00115,,
2020/4/6 08:00,0.00010,-0.000608921,0.001288311,0.550271534,-1,1,0,0,0,0,0.00010,-0.00105,0.00105,,
2020/4/6 16:00,0.00010,-0.000223921,0.000674261,0.480408733,-1,1,0,0,0,0,0.00010,-0.00095,0.00095,,
2020/4/7 00:00,0.00010,-1.63E-05,0.000274643,0.408905992,-1,1,0,0,0,0,0.00010,-0.00085401,0.00085401,,
2020/4/7 08:00,-0.00007,5.13E-05,0.000106677,-1.141082479,0,0,1,1,2,0.00155,-0.00162,-0.00247441,0.00247441,,-0.00247441 
2020/4/7 16:00,-0.00006,6.65E-05,6.94E-05,-1.818332544,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/8 00:00,0.00010,6.66E-05,6.94E-05,0.481168493,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/8 08:00,0.00005,6.16E-05,6.86E-05,-0.170443803,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/8 16:00,0.00010,6.16E-05,6.86E-05,0.560404754,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/9 00:00,0.00010,6.16E-05,6.86E-05,0.560404754,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/9 08:00,0.00010,6.16E-05,6.86E-05,0.560404754,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/9 16:00,0.00003,5.41E-05,6.80E-05,-0.422518657,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/10 00:00,0.00007,5.08E-05,6.63E-05,0.243820536,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/10 08:00,0.00001,4.23E-05,6.53E-05,-0.489669025,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/10 16:00,0.00010,5.93E-05,5.39E-05,0.755493311,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/11 00:00,0.00010,7.53E-05,3.51E-05,0.704807077,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/11 08:00,0.00010,7.53E-05,3.51E-05,0.704807077,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/11 16:00,0.00010,8.03E-05,3.47E-05,0.56937757,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
2020/4/12 00:00,0.00010,8.03E-05,3.47E-05,0.56937757,0,0,0,0,0,0,0.00000,-0.00247441,0.00247441,,
