window,short_perp_threshold,sharpe,calmar,annual_return,mdd
35.0,0.0,19.61,26.67,0.32,0.012
40.0,0.0,19.56,26.67,0.32,0.012
45.0,0.0,19.5,26.67,0.32,0.012
45.0,0.2,19.38,28.18,0.31,0.011
20.0,0.4,19.38,28.18,0.31,0.011
55.0,0.2,19.38,28.18,0.31,0.011
15.0,0.4,19.38,28.18,0.31,0.011
50.0,0.2,19.38,28.18,0.31,0.011
40.0,0.2,19.38,28.18,0.31,0.011
5.0,0.2,19.19,26.67,0.32,0.012
5.0,0.0,19.19,26.67,0.32,0.012
